"date","store_nbr","sales","onpromotion","transaction","Holiday"
2013-01-02,3,24060.348,0,115071,NA
2013-01-02,44,30095.181,0,159093,NA
2013-01-02,45,27612.05095,0,138864,NA
2013-01-02,47,27263.11101,0,137313,NA
2013-01-02,49,16281.845,0,77418,NA
2013-01-03,3,18570.745025,0,99858,NA
2013-01-03,44,20447.057,0,119394,NA
2013-01-03,45,17377.98097,0,109362,NA
2013-01-03,47,18340.205,0,120780,NA
2013-01-03,49,9909.082,0,56166,NA
2013-01-04,3,17392.097995,0,105204,NA
2013-01-04,44,22795.799,0,137577,NA
2013-01-04,45,19936.19504,0,119790,NA
2013-01-04,47,18982.00897,0,129195,NA
2013-01-04,49,10284.566,0,66528,NA
2013-01-05,3,22700.872005,0,119559,TRUE
2013-01-05,44,31382.508,0,162393,TRUE
2013-01-05,47,26996.263995,0,157212,TRUE
2013-01-05,49,13506.025,0,84546,TRUE
2013-01-05,45,27104.223034,0,142923,TRUE
2013-01-06,3,25343.62,0,118470,NA
2013-01-06,44,36069.345,0,162525,NA
2013-01-06,45,31532.03802,0,145794,NA
2013-01-06,47,31646.35698,0,162855,NA
2013-01-06,49,16539.775996,0,92235,NA
2013-01-07,3,17036.253,0,98868,NA
2013-01-07,44,21025.329,0,127743,NA
2013-01-07,45,17309.963,0,110187,NA
2013-01-07,47,15882.998,0,117810,NA
2013-01-07,49,9865.647,0,56727,NA
2013-01-08,3,14220.417,0,93258,NA
2013-01-08,44,33993.257,0,118569,NA
2013-01-08,45,14230.149,0,102366,NA
2013-01-08,47,13098.628,0,105105,NA
2013-01-08,49,7403.504,0,53097,NA
2013-01-09,3,14735.148,0,96756,NA
2013-01-09,44,21296.042004,0,132198,NA
2013-01-09,45,15477.24002,0,107844,NA
2013-01-09,47,14781.954,0,111210,NA
2013-01-09,49,8949.76401,0,58608,NA
2013-01-10,3,12222.912,0,87417,NA
2013-01-10,44,15522.82798,0,109659,NA
2013-01-10,45,10848.866,0,89001,NA
2013-01-10,47,12557.09603,0,98406,NA
2013-01-10,49,6697.649002,0,48873,NA
2013-01-11,3,14997.531,0,97482,NA
2013-01-11,44,19738.47498,0,127809,NA
2013-01-11,45,14211.40106,0,101739,NA
2013-01-11,47,15506.021,0,109296,NA
2013-01-11,49,7993.129,0,58344,NA
2013-01-12,3,20103.025,0,112431,TRUE
2013-01-12,49,11364.16001,0,76197,TRUE
2013-01-12,45,22140.054,0,129591,TRUE
2013-01-12,47,21611.57298,0,141174,TRUE
2013-01-12,44,25418.678,0,145959,TRUE
2013-01-13,3,20230.129,0,106161,NA
2013-01-13,44,31129.35,0,154308,NA
2013-01-13,45,27715.914,0,143385,NA
2013-01-13,47,27466.767,0,158268,NA
2013-01-13,49,15268.749004,0,87846,NA
2013-01-14,3,14202.92,0,91905,NA
2013-01-14,44,17518.412,0,113850,NA
2013-01-14,45,13467.194,0,96921,NA
2013-01-14,47,13685.84902,0,103785,NA
2013-01-14,49,8095.553,0,50325,NA
2013-01-15,3,13860.338,0,90981,NA
2013-01-15,44,15761.721,0,116391,NA
2013-01-15,45,13640.937,0,99528,NA
2013-01-15,47,14380.484,0,109065,NA
2013-01-15,49,7533.966,0,51843,NA
2013-01-16,3,16888.118,0,102564,NA
2013-01-16,44,21994.873,0,132858,NA
2013-01-16,45,16801.528,0,105039,NA
2013-01-16,47,16137.23,0,112398,NA
2013-01-16,49,10288.212,0,58740,NA
2013-01-17,3,12990.799,0,87549,NA
2013-01-17,44,14999.145,0,112596,NA
2013-01-17,45,13044.089,0,91509,NA
2013-01-17,47,12572.42898,0,106161,NA
2013-01-17,49,6989.17698,0,51744,NA
2013-01-18,3,15057.814,0,96888,NA
2013-01-18,44,19238.57502,0,125433,NA
2013-01-18,45,16202.473,0,107679,NA
2013-01-18,47,16478.937,0,108966,NA
2013-01-18,49,8771.33501,0,59532,NA
2013-01-19,3,20455.317,0,113949,NA
2013-01-19,44,29145.70396,0,153648,NA
2013-01-19,45,23738.66902,0,131472,NA
2013-01-19,47,22414.73403,0,144441,NA
2013-01-19,49,12800.508996,0,81477,NA
2013-01-20,3,23949.60594,0,114378,NA
2013-01-20,44,31897.75303,0,156156,NA
2013-01-20,45,28717.088,0,137577,NA
2013-01-20,47,28374.415,0,160941,NA
2013-01-20,49,14373.796,0,83688,NA
2013-01-21,3,14969.83298,0,96690,NA
2013-01-21,44,17632.768,0,115764,NA
2013-01-21,45,15354.58,0,103422,NA
2013-01-21,47,14331.26197,0,110055,NA
2013-01-21,49,7708.370992,0,51381,NA
2013-01-22,3,12857.139024,0,89793,NA
2013-01-22,44,34614.042,0,110517,NA
2013-01-22,45,11736.143985,0,91047,NA
2013-01-22,47,12303.567,0,98109,NA
2013-01-22,49,6394.073002,0,49500,NA
2013-01-23,3,13462.718,0,96063,NA
2013-01-23,44,17574.106,0,122232,NA
2013-01-23,45,14225.622,0,94776,NA
2013-01-23,47,12858.927004,0,105831,NA
2013-01-23,49,8034.80398,0,52998,NA
2013-01-24,3,11454.688,0,82599,NA
2013-01-24,44,12230.94998,0,102993,NA
2013-01-24,45,11096.787,0,85536,NA
2013-01-24,47,11237.114,0,90354,NA
2013-01-24,49,6123.159,0,48444,NA
2013-01-25,3,14203.426996,0,97119,NA
2013-01-25,44,18529.643,0,123783,NA
2013-01-25,45,15071.073,0,104676,NA
2013-01-25,47,14747.08098,0,106029,NA
2013-01-25,49,8169.632,0,59565,NA
2013-01-26,3,19341.873,0,112002,NA
2013-01-26,44,26769.391,0,158796,NA
2013-01-26,45,24007.49402,0,137544,NA
2013-01-26,47,22060.000004,0,143979,NA
2013-01-26,49,12472.401,0,82599,NA
2013-01-27,3,20460.71,0,110715,NA
2013-01-27,44,28839.307,0,153384,NA
2013-01-27,45,25300.98,0,136323,NA
2013-01-27,47,26652.491,0,153153,NA
2013-01-27,49,13186.298,0,79629,NA
2013-01-28,3,12925.501,0,88473,NA
2013-01-28,44,15423.466,0,111936,NA
2013-01-28,45,13667.067,0,94776,NA
2013-01-28,47,13207.575,0,103950,NA
2013-01-28,49,7044.017,0,49731,NA
2013-01-29,3,12254.652,0,86790,NA
2013-01-29,44,14607.175,0,109461,NA
2013-01-29,45,12475.48,0,94611,NA
2013-01-29,47,11837.761,0,96987,NA
2013-01-29,49,7077.696,0,50028,NA
2013-01-30,3,13820.57,0,100155,NA
2013-01-30,44,17236.404,0,127116,NA
2013-01-30,45,13286.44298,0,99726,NA
2013-01-30,47,13025.205,0,107514,NA
2013-01-30,49,6588.678,0,53427,NA
2013-01-31,3,11805.16002,0,92070,NA
2013-01-31,44,13467.855,0,115797,NA
2013-01-31,45,12090.95298,0,99066,NA
2013-01-31,47,12391.981,0,108702,NA
2013-01-31,49,6175.556,0,51909,NA
2013-02-01,3,17541.63003,0,106590,NA
2013-02-01,44,22294.816,0,134112,NA
2013-02-01,45,19197.89698,0,115104,NA
2013-02-01,47,18592.227,0,122760,NA
2013-02-01,49,10312.12503,0,61776,NA
2013-02-02,3,22277.422,0,120384,NA
2013-02-02,44,32666.54397,0,170478,NA
2013-02-02,45,27662.0749,0,142824,NA
2013-02-02,47,28250.0288,0,165693,NA
2013-02-02,49,13134.532,0,82269,NA
2013-02-03,3,22186.131,0,111903,NA
2013-02-03,44,31751.366,0,156288,NA
2013-02-03,45,28419.96702,0,138534,NA
2013-02-03,47,28854.964,0,162855,NA
2013-02-03,49,14795.046,0,85470,NA
2013-02-04,3,13904.785,0,91707,NA
2013-02-04,44,17728.195,0,114147,NA
2013-02-04,45,18199.99,0,109065,NA
2013-02-04,47,16290.872,0,123717,NA
2013-02-04,49,8956.839,0,56430,NA
2013-02-05,3,13021.956044,0,92532,NA
2013-02-05,44,16512.018995,0,117744,NA
2013-02-05,45,15051.878,0,107349,NA
2013-02-05,47,14702.358,0,115797,NA
2013-02-05,49,7720.427,0,56991,NA
2013-02-06,3,14888.492,0,98472,NA
2013-02-06,44,20119.783,0,130053,NA
2013-02-06,45,15689.295,0,106062,NA
2013-02-06,47,15383.89503,0,118239,NA
2013-02-06,49,8191.262998,0,55044,NA
2013-02-07,3,12369.569,0,91179,NA
2013-02-07,44,16506.634,0,121374,NA
2013-02-07,45,12088.655,0,95865,NA
2013-02-07,47,11847.473,0,107118,NA
2013-02-07,49,6935.73497,0,56331,NA
2013-02-08,3,14351.581,0,96327,NA
2013-02-08,44,18985.489005,0,132198,NA
2013-02-08,45,24877.278,0,116424,NA
2013-02-08,47,15100.04597,0,118800,NA
2013-02-08,49,8207.092,0,63129,NA
2013-02-09,3,16205.395,0,104808,NA
2013-02-09,44,22806.965004,0,136389,NA
2013-02-09,45,19413.032,0,130086,NA
2013-02-09,47,19648.19803,0,142791,NA
2013-02-09,49,7731.068,0,59730,NA
2013-02-10,3,11692.60497,0,78177,NA
2013-02-10,44,16419.163,0,103455,NA
2013-02-10,45,15826.63797,0,103323,NA
2013-02-10,47,15109.527,0,112101,NA
2013-02-10,49,9186.35202,0,69960,NA
2013-02-11,3,11629.43898,0,83556,TRUE
2013-02-11,45,16864.94202,0,112563,TRUE
2013-02-11,47,15478.326,0,115335,TRUE
2013-02-11,44,17130.39,0,107019,TRUE
2013-02-11,49,9292.09099,0,72930,TRUE
2013-02-12,49,11014.28101,0,74712,TRUE
2013-02-12,44,21745.158,0,128832,TRUE
2013-02-12,47,19147.213,0,128667,TRUE
2013-02-12,45,18567.85297,0,120615,TRUE
2013-02-12,3,14972.277,0,99462,TRUE
2013-02-13,3,13459.603,0,96063,NA
2013-02-13,44,18051.50398,0,127380,NA
2013-02-13,45,15085.347,0,111144,NA
2013-02-13,47,13934.913,0,123354,NA
2013-02-13,49,9241.136,0,61050,NA
2013-02-14,3,12603.849,0,105798,NA
2013-02-14,44,38885.718004,0,133419,NA
2013-02-14,45,12488.389,0,126456,NA
2013-02-14,47,12178.49703,0,132198,NA
2013-02-14,49,7203.25597,0,63096,NA
2013-02-15,3,14679.928,0,95271,NA
2013-02-15,44,19068.482,0,118965,NA
2013-02-15,45,16324.08702,0,109791,NA
2013-02-15,47,15159.442,0,112266,NA
2013-02-15,49,7619.829,0,53097,NA
2013-02-16,3,23214.76601,0,121506,NA
2013-02-16,44,32582.67696,0,157410,NA
2013-02-16,45,26548.098,0,137511,NA
2013-02-16,47,26842.841,0,155925,NA
2013-02-16,49,13331.091,0,79926,NA
2013-02-17,3,19560.68,0,102069,NA
2013-02-17,44,24503.894,0,129888,NA
2013-02-17,45,24803.164,0,117381,NA
2013-02-17,47,23975.752,0,130944,NA
2013-02-17,49,11114.441,0,64878,NA
2013-02-18,3,17805.591,0,93192,NA
2013-02-18,44,19797.048,0,118338,NA
2013-02-18,45,18169.313,0,102861,NA
2013-02-18,47,16872.47601,0,119427,NA
2013-02-18,49,10396.585,0,58080,NA
2013-02-19,3,13648.919,0,86856,NA
2013-02-19,44,14658.543,0,106524,NA
2013-02-19,45,12964.36101,0,94446,NA
2013-02-19,47,12451.95399,0,97515,NA
2013-02-19,49,7517.551002,0,49995,NA
2013-02-20,3,15292.301,0,100353,NA
2013-02-20,44,19929.391,0,125400,NA
2013-02-20,45,14822.776,0,106524,NA
2013-02-20,47,14498.83101,0,107910,NA
2013-02-20,49,8321.861,0,54912,NA
2013-02-21,3,12110.657,0,86130,NA
2013-02-21,44,13970.993,0,108306,NA
2013-02-21,45,11670.686,0,88572,NA
2013-02-21,47,11328.68299,0,101607,NA
2013-02-21,49,6502.38499,0,49038,NA
2013-02-22,3,12779.591,0,94281,NA
2013-02-22,44,17469.76,0,120054,NA
2013-02-22,45,15059.777,0,103686,NA
2013-02-22,47,13310.166,0,105369,NA
2013-02-22,49,7740.178,0,54912,NA
2013-02-23,3,18857.313,0,109527,NA
2013-02-23,44,26033.812,0,147213,NA
2013-02-23,45,22211.328055,0,130218,NA
2013-02-23,47,19975.601,0,137808,NA
2013-02-23,49,12553.012,0,76956,NA
2013-02-24,3,19897.883,0,111177,NA
2013-02-24,44,30505.36303,0,149061,NA
2013-02-24,45,29830.33501,0,145332,NA
2013-02-24,47,27482.07099,0,156882,NA
2013-02-24,49,13722.752996,0,80025,NA
2013-02-25,3,13409.228,0,92631,NA
2013-02-25,44,19511.08904,0,115995,NA
2013-02-25,45,13588.47501,0,93687,NA
2013-02-25,47,13300.19,0,104874,NA
2013-02-25,49,7646.40199,0,50721,NA
2013-02-26,3,12203.333,0,87252,NA
2013-02-26,44,14784.476004,0,109230,NA
2013-02-26,45,11650.307,0,90948,NA
2013-02-26,47,11992.655,0,96195,NA
2013-02-26,49,6084.184,0,45408,NA
2013-02-27,3,13038.86697,0,96294,NA
